data,categoria,canal_marketing,investimento_mkt,desconto_medio_pct,receita_vendas
2024-01-08,Beleza_Saude,Email_Marketing,100.48,7.07,1815.91
2024-01-08,Eletronicos,TikTok_Ads,140.07,7.98,3774.11
2024-01-08,Beleza_Saude,Google_Ads,723.34,9.69,3470.59
2024-01-08,Casa_Decoracao,TikTok_Ads,608.4,16.79,4503.69
2024-01-08,Eletronicos,Google_Ads,422.69,23.37,5179.94
2024-01-08,Beleza_Saude,Organico,0.0,4.51,1830.14
2024-01-09,Casa_Decoracao,Organico,0.0,11.94,2248.67
2024-01-09,Moda,Email_Marketing,172.76,10.26,3252.91
2024-01-09,Esportes,Organico,0.0,13.68,2085.22
2024-01-09,Eletronicos,TikTok_Ads,472.82,9.62,4415.23
2024-01-09,Beleza_Saude,Email_Marketing,119.49,0.41,2059.49
2024-01-09,Eletronicos,TikTok_Ads,637.04,10.32,5911.71
2024-01-10,Moda,Google_Ads,583.96,13.52,4527.63
2024-01-10,Casa_Decoracao,Google_Ads,804.79,16.36,5919.37
2024-01-10,Moda,TikTok_Ads,500.91,18.65,4832.77
2024-01-10,Moda,Organico,0.0,12.88,2044.93
2024-01-10,Moda,Meta_Ads,406.13,12.83,3288.41
2024-01-10,Eletronicos,Meta_Ads,643.56,9.33,3942.25
2024-01-11,Moda,Email_Marketing,163.4,14.75,2450.13
2024-01-11,Eletronicos,Organico,0.0,21.22,4328.16
2024-01-11,Beleza_Saude,Google_Ads,965.75,12.08,5326.88
2024-01-11,Moda,Organico,0.0,8.86,2255.81
2024-01-11,Casa_Decoracao,Email_Marketing,87.41,8.14,3013.54
2024-01-12,Moda,Organico,0.0,9.58,2888.1
2024-01-12,Eletronicos,Google_Ads,658.47,14.22,6234.51
2024-01-12,Moda,Organico,0.0,11.7,1261.99
2024-01-12,Eletronicos,Organico,0.0,10.74,2757.82
2024-01-12,Esportes,Organico,0.0,4.85,1838.23
2024-01-13,Moda,Organico,0.0,15.04,2889.61
2024-01-13,Moda,Email_Marketing,111.21,13.02,3035.35
2024-01-13,Casa_Decoracao,Meta_Ads,725.9,17.69,4956.54
2024-01-13,Moda,Google_Ads,571.01,14.96,3775.66
2024-01-13,Eletronicos,Email_Marketing,123.77,9.91,3704.14
2024-01-13,Esportes,TikTok_Ads,307.03,17.58,2582.59
2024-01-14,Moda,Meta_Ads,905.14,13.81,5872.05
2024-01-14,Moda,Organico,0.0,16.38,2729.21
2024-01-14,Casa_Decoracao,Meta_Ads,534.6,3.06,3020.25
2024-01-14,Eletronicos,Organico,0.0,17.81,4349.91
2024-01-14,Beleza_Saude,TikTok_Ads,445.06,9.96,3424.16
2024-01-15,Eletronicos,TikTok_Ads,466.12,8.93,6201.86
2024-01-15,Beleza_Saude,TikTok_Ads,633.15,3.04,3485.2
2024-01-15,Eletronicos,Google_Ads,1040.98,6.02,7264.02
2024-01-15,Esportes,Email_Marketing,175.01,8.5,2553.94
2024-01-16,Moda,Meta_Ads,659.03,12.3,3583.02
2024-01-16,Esportes,Email_Marketing,135.62,16.43,2455.1
2024-01-16,Casa_Decoracao,Google_Ads,808.87,6.12,4917.69
2024-01-16,Esportes,Meta_Ads,412.46,13.45,3297.65
2024-01-16,Casa_Decoracao,Meta_Ads,366.72,17.35,3371.9
2024-01-16,Casa_Decoracao,Email_Marketing,219.78,19.39,2610.55
2024-01-17,Moda,Meta_Ads,755.23,14.68,5564.65
2024-01-17,Casa_Decoracao,Email_Marketing,192.5,9.3,2170.95
2024-01-17,Casa_Decoracao,Meta_Ads,512.37,11.77,2348.23
2024-01-17,Esportes,Email_Marketing,192.85,2.52,2750.57
2024-01-17,Esportes,Email_Marketing,143.7,13.43,2349.51
2024-01-18,Eletronicos,TikTok_Ads,527.15,7.8,4530.78
2024-01-18,Eletronicos,Email_Marketing,70.35,9.37,3179.25
2024-01-18,Eletronicos,Meta_Ads,674.44,13.71,7203.11
2024-01-18,Esportes,Email_Marketing,185.64,9.12,2249.26
2024-01-18,Casa_Decoracao,Email_Marketing,168.45,5.4,3344.15
2024-01-18,Eletronicos,Organico,0.0,9.65,2505.6
2024-01-19,Casa_Decoracao,Meta_Ads,870.0,12.03,4997.19
2024-01-19,Casa_Decoracao,Google_Ads,709.99,15.11,3803.51
2024-01-19,Eletronicos,TikTok_Ads,482.2,12.6,5355.15
2024-01-19,Esportes,Google_Ads,942.32,6.38,3769.61
2024-01-19,Eletronicos,Organico,0.0,13.66,3061.57
2024-01-20,Casa_Decoracao,Email_Marketing,174.2,18.84,2435.34
2024-01-20,Casa_Decoracao,Organico,0.0,17.29,1657.64
2024-01-20,Moda,TikTok_Ads,352.09,1.8,3242.12
2024-01-20,Beleza_Saude,Google_Ads,943.51,19.51,5186.53
2024-01-20,Eletronicos,Google_Ads,1125.72,5.1,5015.29
2024-01-21,Moda,TikTok_Ads,493.06,1.13,4941.68
2024-01-21,Esportes,TikTok_Ads,279.48,19.5,2647.52
2024-01-21,Moda,TikTok_Ads,570.13,8.24,5239.95
2024-01-21,Esportes,TikTok_Ads,505.46,17.37,3815.29
2024-01-22,Casa_Decoracao,Organico,0.0,9.23,1766.14
2024-01-22,Esportes,Organico,0.0,12.18,1836.82
2024-01-22,Esportes,Google_Ads,842.8,11.44,4566.6
2024-01-22,Moda,Organico,0.0,15.79,2312.47
2024-01-22,Beleza_Saude,Google_Ads,684.84,10.62,2662.1
2024-01-22,Moda,Email_Marketing,93.18,18.83,3569.29
2024-01-23,Casa_Decoracao,Organico,0.0,7.95,1847.29
2024-01-23,Casa_Decoracao,Meta_Ads,619.63,11.76,3495.61
2024-01-23,Casa_Decoracao,Meta_Ads,543.66,8.13,3634.06
2024-01-23,Casa_Decoracao,TikTok_Ads,527.28,16.55,4595.03
2024-01-23,Beleza_Saude,TikTok_Ads,581.7,7.63,3674.7
2024-01-24,Moda,Organico,0.0,12.64,2335.16
2024-01-24,Eletronicos,Email_Marketing,141.06,9.71,3458.84
2024-01-24,Beleza_Saude,Meta_Ads,587.94,9.93,3279.32
2024-01-24,Casa_Decoracao,Meta_Ads,561.41,0.0,4091.22
2024-01-24,Moda,TikTok_Ads,548.78,11.58,4349.94
2024-01-24,Eletronicos,TikTok_Ads,534.2,8.38,4616.12
2024-01-25,Eletronicos,Email_Marketing,88.97,12.24,3850.08
2024-01-25,Moda,Organico,0.0,15.19,1880.09
2024-01-25,Casa_Decoracao,Meta_Ads,639.26,5.94,3683.25
2024-01-25,Moda,Email_Marketing,151.78,7.7,2707.65
2024-01-25,Casa_Decoracao,TikTok_Ads,625.79,9.12,4630.96
2024-01-25,Esportes,Email_Marketing,107.64,14.65,2954.19
2024-01-26,Casa_Decoracao,Meta_Ads,729.31,19.9,4627.63
2024-01-26,Eletronicos,Organico,0.0,9.03,3656.68
2024-01-26,Esportes,TikTok_Ads,460.19,10.4,3770.65
2024-01-26,Beleza_Saude,Google_Ads,1006.98,0.96,5068.51
2024-01-26,Beleza_Saude,Meta_Ads,606.09,16.74,3800.33
2024-01-27,Casa_Decoracao,Google_Ads,1060.21,0.55,6331.2
2024-01-27,Esportes,Google_Ads,1042.94,7.6,4550.16
2024-01-27,Eletronicos,Meta_Ads,733.3,11.94,6663.56
2024-01-27,Eletronicos,Organico,0.0,19.92,4087.62
2024-01-27,Eletronicos,TikTok_Ads,590.1,10.24,4911.99
2024-01-28,Moda,Organico,0.0,26.88,3230.53
2024-01-28,Esportes,Email_Marketing,132.24,12.14,2423.7
2024-01-28,Casa_Decoracao,Organico,0.0,14.59,2611.86
2024-01-28,Moda,Email_Marketing,163.43,11.44,3117.64
2024-01-28,Eletronicos,Organico,0.0,4.74,3678.24
2024-01-29,Esportes,TikTok_Ads,312.35,18.02,3466.72
2024-01-29,Moda,Email_Marketing,126.38,11.08,2707.89
2024-01-29,Eletronicos,Email_Marketing,132.36,9.99,3551.55
2024-01-29,Eletronicos,Email_Marketing,132.25,16.76,3317.57
2024-01-29,Beleza_Saude,Email_Marketing,122.64,4.08,2670.18
2024-01-30,Eletronicos,Organico,0.0,0.4,3084.91
2024-01-30,Moda,Meta_Ads,752.07,18.35,4413.74
2024-01-30,Beleza_Saude,Google_Ads,499.45,10.7,2893.17
2024-01-30,Eletronicos,TikTok_Ads,481.37,11.97,3971.55
2024-01-31,Esportes,Meta_Ads,606.31,6.47,5350.62
2024-01-31,Eletronicos,Email_Marketing,152.22,12.07,3889.86
2024-01-31,Eletronicos,Meta_Ads,682.19,11.28,5090.74
2024-01-31,Esportes,Organico,0.0,11.84,1881.35
2024-01-31,Casa_Decoracao,Google_Ads,657.43,12.53,4132.0
2024-02-01,Beleza_Saude,Google_Ads,1100.8,12.32,6209.4
2024-02-01,Eletronicos,Organico,0.0,1.13,2838.18
2024-02-01,Moda,TikTok_Ads,422.0,24.86,4171.15
2024-02-01,Casa_Decoracao,Meta_Ads,782.04,2.6,4529.87
2024-02-01,Beleza_Saude,Meta_Ads,808.97,16.31,5032.21
2024-02-02,Casa_Decoracao,Meta_Ads,872.2,16.79,5275.65
2024-02-02,Beleza_Saude,Meta_Ads,771.55,17.03,4154.87
2024-02-02,Beleza_Saude,Google_Ads,734.13,11.52,3940.62
2024-02-02,Esportes,Organico,0.0,8.86,2392.37
2024-02-02,Esportes,TikTok_Ads,454.13,14.36,3633.24
2024-02-03,Eletronicos,Organico,0.0,5.56,3343.6
2024-02-03,Moda,Google_Ads,474.08,14.76,5246.96
2024-02-03,Casa_Decoracao,Google_Ads,943.52,9.65,5533.03
2024-02-03,Eletronicos,TikTok_Ads,702.57,19.85,5017.01
2024-02-03,Eletronicos,Email_Marketing,169.14,11.21,4415.47
2024-02-03,Moda,Meta_Ads,712.34,0.15,4187.57
2024-02-04,Moda,Google_Ads,839.71,13.49,3844.71
2024-02-04,Esportes,TikTok_Ads,535.44,10.6,3937.82
2024-02-04,Esportes,TikTok_Ads,368.9,1.4,2875.56
2024-02-04,Casa_Decoracao,Meta_Ads,480.04,3.1,3939.51
2024-02-04,Casa_Decoracao,Organico,0.0,8.02,2113.81
2024-02-04,Beleza_Saude,Google_Ads,738.44,8.71,4607.0
2024-02-05,Beleza_Saude,Organico,0.0,18.77,2292.52
2024-02-05,Casa_Decoracao,Google_Ads,828.99,10.09,4853.16
2024-02-05,Esportes,Meta_Ads,563.16,2.24,3483.63
2024-02-05,Eletronicos,Google_Ads,871.51,9.06,5918.33
2024-02-06,Esportes,Meta_Ads,624.97,13.11,3776.32
2024-02-06,Moda,Google_Ads,1051.15,7.53,5508.2
2024-02-06,Beleza_Saude,TikTok_Ads,445.03,19.23,3570.02
2024-02-06,Casa_Decoracao,Email_Marketing,188.69,4.57,2779.79
2024-02-06,Moda,Email_Marketing,183.36,12.41,3539.81
2024-02-06,Casa_Decoracao,Organico,0.0,19.05,3056.99
2024-02-07,Eletronicos,Google_Ads,727.43,2.33,4443.69
2024-02-07,Moda,TikTok_Ads,366.18,15.41,3605.45
2024-02-07,Eletronicos,Organico,0.0,23.55,3275.59
2024-02-07,Beleza_Saude,Meta_Ads,839.65,20.11,3669.35
2024-02-07,Esportes,Email_Marketing,152.77,9.41,2276.02
2024-02-07,Eletronicos,Meta_Ads,740.25,8.89,5254.74
2024-02-08,Eletronicos,Organico,0.0,7.84,3573.4
2024-02-08,Eletronicos,TikTok_Ads,430.97,15.16,5024.75
2024-02-08,Casa_Decoracao,Meta_Ads,403.69,19.74,4601.25
2024-02-08,Beleza_Saude,TikTok_Ads,423.4,10.06,3366.85
2024-02-08,Moda,Meta_Ads,704.35,15.29,6238.61
2024-02-08,Eletronicos,Meta_Ads,621.25,8.01,4185.74
2024-02-09,Moda,Organico,0.0,11.92,2897.47
2024-02-09,Moda,Email_Marketing,244.76,9.35,2958.29
2024-02-09,Esportes,Organico,0.0,15.41,2668.08
2024-02-09,Beleza_Saude,Organico,0.0,10.2,2062.11
2024-02-10,Casa_Decoracao,TikTok_Ads,638.59,17.04,5340.41
2024-02-10,Casa_Decoracao,Organico,0.0,14.4,2093.18
2024-02-10,Eletronicos,Google_Ads,633.29,8.55,5727.62
2024-02-10,Esportes,Organico,0.0,14.0,2002.98
2024-02-11,Casa_Decoracao,Meta_Ads,650.55,10.05,3791.12
2024-02-11,Eletronicos,Email_Marketing,148.26,10.35,3650.92
2024-02-11,Eletronicos,Organico,0.0,14.79,3103.87
2024-02-11,Eletronicos,TikTok_Ads,430.56,14.46,5213.28
2024-02-12,Moda,Meta_Ads,551.89,9.21,4389.36
2024-02-12,Eletronicos,Meta_Ads,904.4,11.67,5765.9
2024-02-12,Moda,Organico,0.0,4.76,1581.99
2024-02-12,Casa_Decoracao,Email_Marketing,166.5,9.49,2269.21
2024-02-13,Beleza_Saude,Email_Marketing,176.56,5.86,2987.1
2024-02-13,Casa_Decoracao,Email_Marketing,183.67,10.97,2462.67
2024-02-13,Casa_Decoracao,Organico,0.0,12.37,2116.01
2024-02-13,Casa_Decoracao,Organico,0.0,10.29,2330.12
2024-02-13,Eletronicos,Organico,0.0,13.35,3323.98
2024-02-14,Casa_Decoracao,Organico,0.0,19.51,2403.68
2024-02-14,Moda,Email_Marketing,90.76,9.13,2517.07
2024-02-14,Beleza_Saude,Organico,0.0,17.77,1544.69
2024-02-14,Casa_Decoracao,Email_Marketing,223.7,21.81,2882.9
2024-02-15,Casa_Decoracao,Google_Ads,832.55,7.44,4708.57
2024-02-15,Esportes,TikTok_Ads,452.1,8.95,2842.18
2024-02-15,Eletronicos,TikTok_Ads,507.81,8.1,4578.37
2024-02-15,Eletronicos,Google_Ads,1015.02,15.16,5777.62
2024-02-15,Beleza_Saude,Google_Ads,870.38,12.66,5908.18
2024-02-16,Eletronicos,TikTok_Ads,672.89,9.1,5452.95
2024-02-16,Moda,TikTok_Ads,472.26,5.93,4205.3
2024-02-16,Beleza_Saude,Email_Marketing,208.78,10.51,3387.95
2024-02-16,Moda,Email_Marketing,91.59,17.27,3544.0
2024-02-16,Beleza_Saude,Meta_Ads,616.85,11.07,4464.4
2024-02-16,Beleza_Saude,Meta_Ads,732.22,2.01,3503.79
2024-02-17,Casa_Decoracao,Organico,0.0,16.37,2498.49
2024-02-17,Esportes,Meta_Ads,1154.54,13.74,8039.73
2024-02-17,Esportes,Organico,0.0,11.59,1930.95
2024-02-17,Eletronicos,Email_Marketing,206.61,20.2,4646.6
2024-02-17,Beleza_Saude,Organico,0.0,5.61,1416.47
2024-02-17,Eletronicos,Email_Marketing,196.74,11.37,4483.04
2024-02-18,Moda,Organico,0.0,8.57,2512.75
2024-02-18,Beleza_Saude,Google_Ads,534.98,17.37,4313.94
2024-02-18,Moda,Email_Marketing,138.93,12.08,2863.83
2024-02-18,Esportes,Organico,0.0,19.73,1892.84
2024-02-18,Esportes,Google_Ads,647.97,11.25,4711.55
2024-02-19,Esportes,Organico,0.0,5.48,2391.51
2024-02-19,Moda,Email_Marketing,89.79,14.52,1885.44
2024-02-19,Beleza_Saude,TikTok_Ads,588.4,16.85,4532.26
2024-02-19,Eletronicos,Email_Marketing,143.95,19.92,5449.19
2024-02-19,Eletronicos,Google_Ads,735.68,9.74,5817.81
2024-02-20,Esportes,TikTok_Ads,440.29,12.7,3703.24
2024-02-20,Esportes,Email_Marketing,144.99,17.43,1773.08
2024-02-20,Casa_Decoracao,Meta_Ads,1127.38,7.64,5982.72
2024-02-20,Esportes,Email_Marketing,114.81,15.22,2561.96
2024-02-20,Eletronicos,Organico,0.0,17.37,3433.05
2024-02-20,Eletronicos,Meta_Ads,738.92,7.41,5599.32
2024-02-21,Moda,Google_Ads,1200.68,15.19,5304.27
2024-02-21,Eletronicos,Email_Marketing,211.25,6.27,4139.24
2024-02-21,Beleza_Saude,Google_Ads,649.14,11.68,4172.73
2024-02-21,Casa_Decoracao,Google_Ads,864.27,14.11,6212.25
2024-02-22,Esportes,Organico,0.0,4.65,1700.76
2024-02-22,Beleza_Saude,Google_Ads,531.89,17.82,4475.64
2024-02-22,Casa_Decoracao,TikTok_Ads,698.3,1.9,4833.69
2024-02-22,Moda,Organico,0.0,17.56,1718.21
2024-02-22,Moda,TikTok_Ads,721.04,12.21,4599.21
2024-02-23,Moda,Meta_Ads,462.03,4.34,4581.29
2024-02-23,Moda,Meta_Ads,353.59,23.64,4237.41
2024-02-23,Eletronicos,Email_Marketing,175.5,14.88,3887.59
2024-02-23,Casa_Decoracao,Organico,0.0,11.06,2355.79
2024-02-23,Esportes,Organico,0.0,7.25,1735.07
2024-02-24,Esportes,Meta_Ads,490.06,6.71,3539.26
2024-02-24,Beleza_Saude,Google_Ads,865.86,13.97,4314.5
2024-02-24,Casa_Decoracao,Organico,0.0,9.17,2322.75
2024-02-24,Moda,Email_Marketing,144.61,15.98,3200.2
2024-02-24,Beleza_Saude,Meta_Ads,280.0,13.24,3779.89
2024-02-24,Moda,Google_Ads,1065.05,14.11,4984.37
2024-02-25,Esportes,TikTok_Ads,559.69,15.46,4177.84
2024-02-25,Moda,Organico,0.0,14.85,2286.61
2024-02-25,Eletronicos,Email_Marketing,166.21,6.29,3677.44
2024-02-25,Moda,Meta_Ads,731.7,10.2,6502.22
2024-02-26,Esportes,Google_Ads,421.56,7.98,4134.16
2024-02-26,Casa_Decoracao,Organico,0.0,9.23,2336.75
2024-02-26,Beleza_Saude,Organico,0.0,10.1,1835.4
2024-02-26,Casa_Decoracao,Google_Ads,683.66,6.93,3829.95
2024-02-26,Moda,Google_Ads,555.21,12.17,3745.84
2024-02-27,Beleza_Saude,Meta_Ads,849.5,5.95,5586.76
2024-02-27,Esportes,TikTok_Ads,552.38,8.47,3705.38
2024-02-27,Beleza_Saude,Email_Marketing,170.94,12.38,2663.02
2024-02-27,Casa_Decoracao,Organico,0.0,12.85,1731.3
2024-02-27,Esportes,Meta_Ads,631.93,7.48,3525.49
2024-02-28,Esportes,Google_Ads,1047.22,12.78,7415.65
2024-02-28,Beleza_Saude,Google_Ads,741.84,9.96,3496.5
2024-02-28,Casa_Decoracao,Organico,0.0,5.9,1884.5
2024-02-28,Esportes,Email_Marketing,199.13,12.2,2766.16
2024-02-28,Beleza_Saude,Meta_Ads,634.36,13.83,4813.23
2024-02-28,Beleza_Saude,Google_Ads,401.21,18.09,2056.26
2024-02-29,Moda,Email_Marketing,151.06,9.83,2669.2
2024-02-29,Esportes,Google_Ads,817.46,14.73,4815.91
2024-02-29,Casa_Decoracao,Organico,0.0,2.15,1998.72
2024-02-29,Moda,TikTok_Ads,372.07,13.51,3835.92
2024-02-29,Casa_Decoracao,Meta_Ads,631.21,14.55,4897.51
2024-03-01,Esportes,Organico,0.0,9.71,1789.42
2024-03-01,Moda,Email_Marketing,197.12,17.72,2616.45
2024-03-01,Beleza_Saude,Email_Marketing,128.9,8.99,3350.04
2024-03-01,Eletronicos,Email_Marketing,146.28,4.52,4956.79
2024-03-01,Beleza_Saude,Organico,0.0,10.7,1976.76
2024-03-02,Beleza_Saude,Email_Marketing,128.98,16.75,2987.04
2024-03-02,Beleza_Saude,Email_Marketing,182.89,15.37,3762.45
2024-03-02,Eletronicos,Organico,0.0,13.9,2738.02
2024-03-02,Esportes,Email_Marketing,100.61,11.63,2958.28
2024-03-03,Moda,Organico,0.0,6.03,3012.86
2024-03-03,Casa_Decoracao,Google_Ads,522.41,8.19,4429.46
2024-03-03,Esportes,Organico,0.0,8.57,2203.04
2024-03-03,Esportes,Organico,0.0,5.81,2483.07
2024-03-03,Moda,Meta_Ads,845.96,10.46,6942.35
2024-03-03,Moda,Meta_Ads,697.36,8.35,5238.04
2024-03-04,Moda,Meta_Ads,588.29,17.05,5143.28
2024-03-04,Beleza_Saude,TikTok_Ads,424.46,11.62,4464.5
2024-03-04,Esportes,Google_Ads,915.07,0.0,5604.7
2024-03-04,Beleza_Saude,Google_Ads,847.15,11.91,4929.65
2024-03-04,Casa_Decoracao,Email_Marketing,194.79,18.22,2288.9
2024-03-05,Moda,Meta_Ads,865.83,14.78,6665.24
2024-03-05,Beleza_Saude,Meta_Ads,1001.81,8.78,6723.15
2024-03-05,Eletronicos,TikTok_Ads,507.13,13.34,7335.37
2024-03-05,Eletronicos,Google_Ads,901.57,14.69,8723.05
2024-03-05,Eletronicos,Email_Marketing,136.31,7.8,3731.53
2024-03-06,Eletronicos,Email_Marketing,76.26,5.94,4868.57
2024-03-06,Moda,TikTok_Ads,456.25,14.75,6170.68
2024-03-06,Beleza_Saude,Google_Ads,937.74,13.86,7228.1
2024-03-06,Beleza_Saude,Organico,0.0,8.0,2298.07
2024-03-06,Esportes,TikTok_Ads,285.31,9.3,3591.43
2024-03-07,Beleza_Saude,Email_Marketing,159.03,25.01,3314.39
2024-03-07,Casa_Decoracao,Organico,0.0,15.77,2777.24
2024-03-07,Moda,TikTok_Ads,661.22,15.37,5362.82
2024-03-07,Casa_Decoracao,Organico,0.0,10.95,2231.44
2024-03-08,Moda,TikTok_Ads,704.87,25.13,6151.95
2024-03-08,Casa_Decoracao,TikTok_Ads,529.55,16.13,5223.5
2024-03-08,Eletronicos,Meta_Ads,833.03,15.92,7186.15
2024-03-08,Moda,Google_Ads,1044.4,6.64,6614.54
2024-03-08,Esportes,Organico,0.0,5.75,2091.07
2024-03-09,Esportes,Email_Marketing,175.19,9.24,4181.51
2024-03-09,Esportes,Google_Ads,687.15,12.92,6176.24
2024-03-09,Esportes,Organico,0.0,22.31,3013.56
2024-03-09,Moda,Email_Marketing,188.4,14.96,4088.44
2024-03-09,Beleza_Saude,Google_Ads,689.76,7.91,4725.99
2024-03-10,Esportes,TikTok_Ads,489.66,11.39,5196.11
2024-03-10,Beleza_Saude,Organico,0.0,6.88,2794.82
2024-03-10,Moda,Email_Marketing,195.79,14.91,3562.82
2024-03-10,Esportes,Google_Ads,608.11,10.14,5403.29
2024-03-10,Beleza_Saude,Google_Ads,1176.92,19.72,6444.94
2024-03-11,Casa_Decoracao,Google_Ads,576.08,9.08,3748.21
2024-03-11,Esportes,TikTok_Ads,324.97,0.0,3739.97
2024-03-11,Casa_Decoracao,Organico,0.0,16.55,3203.39
2024-03-11,Eletronicos,TikTok_Ads,512.49,12.73,5551.53
2024-03-11,Esportes,Organico,0.0,15.64,2396.8
2024-03-12,Beleza_Saude,Email_Marketing,184.26,7.98,3520.44
2024-03-12,Esportes,TikTok_Ads,466.11,11.89,3692.28
2024-03-12,Beleza_Saude,Email_Marketing,59.09,16.42,2814.17
2024-03-12,Moda,Meta_Ads,604.28,12.33,5571.57
2024-03-13,Esportes,Meta_Ads,559.44,6.68,4578.29
2024-03-13,Moda,Organico,0.0,7.88,2758.09
2024-03-13,Moda,Meta_Ads,726.37,21.57,6819.73
2024-03-13,Beleza_Saude,Organico,0.0,13.2,2752.16
2024-03-13,Eletronicos,TikTok_Ads,332.77,14.76,5159.96
2024-03-13,Esportes,Meta_Ads,836.92,14.02,4870.39
2024-03-14,Moda,Organico,0.0,11.71,2617.22
2024-03-14,Moda,Email_Marketing,172.59,8.45,3205.88
2024-03-14,Moda,Email_Marketing,193.57,8.16,2774.32
2024-03-14,Casa_Decoracao,TikTok_Ads,511.87,10.2,4789.24
2024-03-15,Moda,Meta_Ads,620.67,27.97,5944.88
2024-03-15,Beleza_Saude,Google_Ads,649.64,9.87,5430.78
2024-03-15,Moda,TikTok_Ads,514.16,4.81,5267.69
2024-03-15,Eletronicos,Email_Marketing,124.94,21.37,5489.45
2024-03-16,Eletronicos,Meta_Ads,654.44,5.58,5843.6
2024-03-16,Moda,TikTok_Ads,511.21,18.78,4399.75
2024-03-16,Moda,Organico,0.0,16.72,2587.94
2024-03-16,Beleza_Saude,TikTok_Ads,642.8,11.95,4873.76
2024-03-16,Beleza_Saude,TikTok_Ads,545.94,8.92,4472.54
2024-03-16,Beleza_Saude,Meta_Ads,524.49,9.49,4508.41
2024-03-17,Esportes,Google_Ads,739.27,2.22,4780.36
2024-03-17,Casa_Decoracao,Email_Marketing,198.97,11.54,2198.4
2024-03-17,Esportes,Meta_Ads,569.02,16.96,5055.88
2024-03-17,Beleza_Saude,TikTok_Ads,395.01,9.17,3447.88
2024-03-17,Esportes,Email_Marketing,125.15,1.85,3029.18
2024-03-18,Eletronicos,TikTok_Ads,657.13,17.97,5575.0
2024-03-18,Esportes,Google_Ads,719.59,14.62,4790.72
2024-03-18,Beleza_Saude,Email_Marketing,179.16,18.88,3497.07
2024-03-18,Casa_Decoracao,Organico,0.0,12.63,2980.25
2024-03-18,Casa_Decoracao,Meta_Ads,436.03,15.62,4723.92
2024-03-19,Moda,TikTok_Ads,286.89,0.62,3796.32
2024-03-19,Casa_Decoracao,TikTok_Ads,637.57,13.26,4952.54
2024-03-19,Eletronicos,TikTok_Ads,476.56,7.29,5466.65
2024-03-19,Casa_Decoracao,Meta_Ads,718.52,9.82,5790.5
2024-03-20,Casa_Decoracao,Organico,0.0,22.46,2567.99
2024-03-20,Moda,Google_Ads,743.6,11.4,5479.52
2024-03-20,Casa_Decoracao,TikTok_Ads,510.73,9.1,4965.98
2024-03-20,Eletronicos,Email_Marketing,129.27,15.28,5638.98
2024-03-20,Beleza_Saude,Google_Ads,728.58,15.97,5523.04
2024-03-20,Beleza_Saude,Email_Marketing,234.48,9.48,3454.88
